Nome do Produto,Valor,Site Oficial,Tags
Baratza Sette 30,,https://baratza.com/grinder/sette-30/,
Sage Smart Grinder Pro,259.9,https://www.sageappliances.com/eu/pt/products/coffee/bcg820.html,
